activity_name,co2e_factor,unit,data_source,geography,category,data_quality_rating,derivation_method,source_factors
lithium_ion_battery,8.5,kg,PROXY,GLO,material,0.6,"Weighted avg: aluminum (40%) + plastics (30%) + electricity (30%)","EPA:aluminum;EPA:plastic_abs;DEFRA:electricity_grid"
semiconductor,45.0,kg,PROXY,GLO,material,0.5,"Materials + 50% electricity premium - high energy intensity","EPA:copper;EPA:plastic_abs;DEFRA:electricity_grid"
carbon_fiber,22.0,kg,PROXY,GLO,material,0.6,"Aluminum factor x 1.5 - high energy process","DEFRA:aluminum"
pcb_board,35.0,kg,PROXY,GLO,material,0.5,"Copper + plastics + electricity intensive manufacturing","EPA:copper;EPA:plastic_abs;DEFRA:electricity"
motor_electric,12.0,kg,PROXY,GLO,material,0.6,"Weighted avg: steel (50%) + copper (30%) + plastics (20%)","EPA:steel;EPA:copper;EPA:plastic_abs"
textile_cotton,5.5,kg,PROXY,GLO,material,0.7,"Agricultural + processing factors - cotton cultivation and weaving","DEFRA:cotton_generic;EPA:processing"
textile_polyester,6.8,kg,PROXY,GLO,material,0.7,"Petrochemical feedstock + processing","EPA:plastic_pet;DEFRA:processing"
display_lcd,18.5,kg,PROXY,GLO,material,0.5,"Glass + electronics + backlight components","EPA:glass;DEFRA:electricity_manufacturing"
power_supply_unit,15.0,kg,PROXY,GLO,material,0.5,"Copper + steel + electronics assembly","EPA:copper;EPA:steel;DEFRA:electricity"
fan_cooling,8.0,kg,PROXY,GLO,material,0.6,"Plastic + motor + metal housing","EPA:plastic_abs;EPA:steel;EPA:copper"
keyboard,12.0,kg,PROXY,GLO,material,0.6,"Plastic housing + electronics + rubber dome","EPA:plastic_abs;EPA:copper;DEFRA:rubber"
touchscreen,25.0,kg,PROXY,GLO,material,0.5,"Glass + conductive layer + controller","EPA:glass;EPA:copper;DEFRA:electricity_manufacturing"
heat_sink,9.5,kg,PROXY,GLO,material,0.6,"Aluminum with manufacturing overhead","DEFRA:aluminum;EPA:processing"
speaker,7.5,kg,PROXY,GLO,material,0.6,"Magnet + paper cone + plastic housing","EPA:steel;EPA:plastic_abs;DEFRA:paper"
camera_module,30.0,kg,PROXY,GLO,material,0.5,"Lens + sensor + electronics - precision manufacturing","EPA:glass;EPA:copper;DEFRA:electricity_manufacturing"
memory_ram,50.0,kg,PROXY,GLO,material,0.5,"High-purity silicon + gold contacts + packaging","EPA:copper;DEFRA:electricity_manufacturing"
storage_ssd,40.0,kg,PROXY,GLO,material,0.5,"Flash memory + controller + housing","EPA:copper;EPA:plastic_abs;DEFRA:electricity"
cable_usb,5.0,kg,PROXY,GLO,material,0.7,"Copper wire + plastic sheathing + connectors","EPA:copper;EPA:plastic_pvc"
connector_metal,8.0,kg,PROXY,GLO,material,0.7,"Metal contacts + plastic housing","EPA:copper;EPA:plastic_abs"
packaging_foam,3.5,kg,PROXY,GLO,other,0.7,"Expanded polystyrene packaging material","EPA:plastic_ps;DEFRA:processing"
adhesive_general,4.0,kg,PROXY,GLO,other,0.6,"Synthetic adhesive compound","EPA:plastic_abs;DEFRA:chemical_processing"
solder_lead_free,12.0,kg,PROXY,GLO,material,0.6,"Tin-silver-copper alloy solder","EPA:copper;DEFRA:metal_processing"
paint_coating,6.0,kg,PROXY,GLO,other,0.6,"Industrial coating with solvents","DEFRA:chemical_processing;EPA:plastic_abs"
rubber_synthetic,4.2,kg,PROXY,GLO,material,0.7,"Petrochemical-derived synthetic rubber","EPA:plastic_abs;DEFRA:processing"
leather_synthetic,7.5,kg,PROXY,GLO,material,0.6,"PVC-based synthetic leather material","EPA:plastic_pvc;DEFRA:processing"
zipper_metal,10.0,kg,PROXY,GLO,material,0.7,"Metal teeth + fabric tape","EPA:copper;DEFRA:textile_processing"
button_plastic,4.5,kg,PROXY,GLO,material,0.7,"Injection molded plastic buttons","EPA:plastic_abs;DEFRA:processing"
insulation_foam,3.0,kg,PROXY,GLO,material,0.6,"Polyurethane foam insulation","EPA:plastic_abs;DEFRA:chemical_processing"
wire_copper_insulated,6.5,kg,PROXY,GLO,material,0.7,"Copper conductor with PVC insulation","EPA:copper;EPA:plastic_pvc"
screw_steel,3.0,kg,PROXY,GLO,material,0.7,"Steel fastener with zinc coating","EPA:steel;DEFRA:metal_processing"
